#TAG,NAME IN REPO (or git url),PURPOSE
A,mimi-bachoseven-git,"is a better xdg-open. [replaces xdg-utils]."
A,newsie,"is a cli utility for reading Arch newsfeed (+pacman hook)."
A,nerd-fonts-hack,"is the main system font."
A,ttf-scientifica,"is the main console bitmap font."
A,cozette-ttf,"is the fallback console bitmap font."
,ttf-symbola,"is a font which covers many Unicode gryphs."
A,ttf-mutant-emoji,"is a general-purpose emoji font."
,noto-fonts-emoji,"is a fallback emoji font."
,adobe-source-han-sans-otc-fonts,"is a collection of Pan-CJK fonts."
,ttf-font-awesome,"is an awesome font for screenkey."
A,screenkey-git,"is an amazing keys screencasting tool."
A,sdcv-git,"is an amazing command-line interface for Stardict dictionaries."
A,readability-cli,"is a cli implementation of the readability.js library."
A,stardict-dictd_www.dict.org_gcide,"Gnu Collaborative International Dictionary of English for sdcv."
A,chaotic-mirrorlist,"is the mirrorlist for Chaotic Aur repos."
A,chaotic-keyring,"is the Chaotic-AUR keyring."
A,chromium-snapshot-bin,"is the browser."
A,chromium-widevine,"is a plugin for using Netflix in chromium."
,arch-wiki-docs,"is an offline copy of the Arch Wiki."
A,wikiman,"is an offline search engine for the Arch Wiki and other documentations."
A,tealdeer,"is a a shell TLDR program."
,transmission-cli,"is a cli bittorrent client."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
A,ncmpcpp-git,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,mpv-mpris-git,"is an MPRIS implementation for MPV."
A,mpd-mpris,"is an MPRIS implementation from MPD."
,exiv2,"is an image metadata manipulation tool for sxiv."
,perl-image-exiftool,"R-W of Exif information."
A,kunst-git,"ncmpcpp album artist images."
,usb_modeswitch,"is for activating switchable usb devices(might help with usb ethernet adapters)."
,perl-file-mimeinfo,"is Mimeopen."
A,glow,"is a nice Markdown preview utility."
A,taskbook-git,"is an aesthetic taskbook utility."
,jq,"CLI json processor for taskbook autocomplete."
A,jackett,"is a great torrent scraper."
